Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00023_00013.ppm;36;37;5;5;31;32;9
00008_00012.ppm;32;31;6;5;27;26;9
00021_00015.ppm;43;44;5;5;38;39;9
00003_00009.ppm;32;33;5;6;27;28;9
00043_00029.ppm;112;114;10;10;102;104;9
00018_00015.ppm;37;37;5;6;31;31;9
00041_00004.ppm;29;29;5;5;24;24;9
00012_00020.ppm;55;56;6;5;50;51;9
00023_00023.ppm;43;45;5;5;38;40;9
00017_00015.ppm;37;42;5;6;32;37;9
00043_00001.ppm;28;27;6;5;23;22;9
00028_00006.ppm;48;49;5;5;43;44;9
00015_00008.ppm;43;43;5;5;38;38;9
00013_00017.ppm;49;50;6;5;44;45;9
00045_00022.ppm;64;70;6;6;59;64;9
00037_00019.ppm;55;53;6;5;49;48;9
00001_00009.ppm;31;32;5;6;26;27;9
00044_00019.ppm;50;46;6;5;44;41;9
00003_00001.ppm;26;26;5;5;21;21;9
00032_00010.ppm;39;39;5;5;34;34;9
00010_00028.ppm;105;98;10;8;96;90;9
00001_00019.ppm;44;44;6;6;39;39;9
00047_00017.ppm;41;42;6;5;36;37;9
00046_00006.ppm;47;46;5;6;41;40;9
00029_00022.ppm;69;68;7;7;63;62;9
00038_00014.ppm;39;40;5;5;34;35;9
00023_00003.ppm;30;32;5;5;25;27;9
00000_00024.ppm;55;52;6;6;50;47;9
00002_00016.ppm;54;53;6;5;48;48;9
00001_00021.ppm;49;49;5;6;44;43;9
00015_00012.ppm;43;43;5;5;38;38;9
00000_00011.ppm;40;41;6;6;35;36;9
00007_00000.ppm;25;26;5;5;20;21;9
00034_00018.ppm;44;42;6;5;39;37;9
00027_00001.ppm;28;28;6;5;23;23;9
00010_00021.ppm;64;63;6;6;59;58;9
00026_00025.ppm;103;106;9;10;94;96;9
00024_00014.ppm;38;41;5;5;33;36;9
00001_00020.ppm;46;45;6;5;41;40;9
00016_00025.ppm;60;62;5;6;55;57;9
00048_00019.ppm;41;41;6;6;36;36;9
00031_00011.ppm;32;31;6;6;26;26;9
00010_00006.ppm;41;40;6;5;36;35;9
00022_00013.ppm;39;40;5;6;34;35;9
00008_00016.ppm;35;35;6;6;30;30;9
00033_00023.ppm;61;57;6;6;55;52;9
