Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00007_00013.ppm;45;40;5;5;40;35;23
00010_00000.ppm;37;37;5;6;32;32;23
00004_00002.ppm;31;30;5;6;25;25;23
00012_00017.ppm;39;40;5;6;33;34;23
00012_00026.ppm;53;51;5;5;48;45;23
00010_00002.ppm;40;37;6;5;34;31;23
00011_00022.ppm;99;89;8;8;91;81;23
00010_00020.ppm;71;65;7;6;65;60;23
00007_00004.ppm;36;31;5;5;31;26;23
00004_00010.ppm;36;34;6;6;31;29;23
00009_00015.ppm;52;47;6;5;47;42;23
00001_00021.ppm;132;123;12;11;121;113;23
00013_00003.ppm;41;40;5;6;36;35;23
00000_00004.ppm;27;27;5;6;22;22;23
00005_00002.ppm;31;31;5;6;26;26;23
00004_00009.ppm;35;33;6;6;30;28;23
00016_00029.ppm;79;75;7;6;72;69;23
00013_00013.ppm;53;49;6;5;48;44;23
00011_00026.ppm;119;106;10;9;109;97;23
00000_00019.ppm;48;45;6;5;43;40;23
00013_00005.ppm;45;43;6;6;39;37;23
00010_00013.ppm;54;50;6;6;49;45;23
00004_00008.ppm;34;31;6;5;29;26;23
00005_00004.ppm;34;32;6;5;29;27;23
00004_00012.ppm;40;37;6;6;35;31;23
00013_00020.ppm;64;60;6;6;59;54;23
00009_00007.ppm;42;39;6;5;37;34;23
00000_00027.ppm;93;92;8;9;85;84;23
00016_00001.ppm;41;35;6;5;36;30;23
00001_00005.ppm;74;70;7;7;68;64;23
00005_00022.ppm;68;60;7;5;62;55;23
00004_00025.ppm;65;62;6;5;59;56;23
00013_00009.ppm;48;46;6;6;43;40;23
00008_00010.ppm;51;48;6;6;46;43;23
00013_00004.ppm;43;42;5;6;38;37;23
00004_00015.ppm;43;38;6;6;38;33;23
00006_00017.ppm;49;44;6;6;44;39;23
00007_00021.ppm;56;51;5;5;51;46;23
00004_00026.ppm;71;68;7;6;65;62;23
00002_00006.ppm;41;38;6;6;36;33;23
00011_00015.ppm;73;65;6;6;67;60;23
00016_00021.ppm;59;58;5;6;54;53;23
00004_00028.ppm;82;76;7;7;75;69;23
00003_00002.ppm;55;52;5;6;50;47;23
00016_00007.ppm;46;43;6;5;41;38;23
00004_00013.ppm;40;36;5;5;35;31;23
00010_00014.ppm;54;50;5;6;49;45;23
