Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00009_00006.ppm;30;29;6;6;25;24;40
00002_00024.ppm;74;74;6;6;68;68;40
00003_00028.ppm;110;107;9;9;100;98;40
00008_00013.ppm;52;54;6;6;47;49;40
00000_00005.ppm;38;36;5;6;33;31;40
00008_00018.ppm;71;73;6;7;65;66;40
00002_00016.ppm;47;48;5;6;42;43;40
00005_00000.ppm;50;51;5;6;45;46;40
00005_00023.ppm;98;93;9;9;90;85;40
00000_00004.ppm;38;35;6;6;33;30;40
00003_00020.ppm;68;63;7;6;62;58;40
00000_00022.ppm;55;55;6;6;49;49;40
00007_00015.ppm;36;39;5;5;31;33;40
00000_00013.ppm;47;42;6;5;42;37;40
00005_00015.ppm;74;72;6;6;68;66;40
00011_00000.ppm;38;40;5;5;33;35;40
00005_00017.ppm;76;75;7;6;70;69;40
00006_00013.ppm;50;50;5;5;45;45;40
00009_00001.ppm;26;26;5;5;21;21;40
00001_00007.ppm;35;36;6;6;30;30;40
00004_00019.ppm;71;73;6;7;65;67;40
00003_00002.ppm;39;38;6;6;33;33;40
00011_00016.ppm;50;51;6;6;44;46;40
00001_00019.ppm;53;53;5;5;48;48;40
00007_00021.ppm;49;51;6;5;44;46;40
00011_00012.ppm;46;49;5;6;41;44;40
00010_00008.ppm;37;40;6;6;32;35;40
00008_00005.ppm;31;35;5;5;25;29;40
00000_00020.ppm;52;52;5;6;47;46;40
00010_00020.ppm;56;59;5;6;51;54;40
00001_00015.ppm;47;47;6;6;42;42;40
00009_00012.ppm;34;35;5;6;29;29;40
00001_00005.ppm;32;33;5;6;27;28;40
00011_00019.ppm;51;53;5;5;45;47;40
00007_00020.ppm;47;48;5;5;42;43;40
00005_00009.ppm;62;62;5;5;57;57;40
00009_00026.ppm;82;77;8;7;74;71;40
00005_00025.ppm;107;104;9;10;98;95;40
00006_00025.ppm;96;96;8;9;88;88;40
00005_00028.ppm;123;117;10;10;113;107;40
00000_00019.ppm;52;49;5;5;47;44;40
00011_00014.ppm;47;50;5;6;42;45;40
00000_00016.ppm;49;47;5;6;44;42;40
00008_00023.ppm;91;92;8;8;83;84;40
00004_00000.ppm;37;39;5;6;32;34;40
00010_00002.ppm;32;33;6;5;27;28;40
00008_00017.ppm;69;69;7;6;63;62;40
