Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00034_00018.ppm;36;38;5;5;31;33;5
00008_00013.ppm;41;41;5;5;36;36;5
00038_00003.ppm;29;29;6;6;23;24;5
00019_00027.ppm;70;67;7;6;64;61;5
00000_00003.ppm;32;32;6;5;27;27;5
00057_00008.ppm;35;33;6;5;30;28;5
00036_00017.ppm;42;40;6;5;37;35;5
00017_00020.ppm;57;57;6;6;52;52;5
00004_00021.ppm;48;49;6;5;43;44;5
00021_00008.ppm;34;35;5;6;29;30;5
00021_00020.ppm;47;47;6;6;42;42;5
00001_00024.ppm;41;40;6;5;36;35;5
00026_00003.ppm;31;27;6;5;25;22;5
00058_00013.ppm;32;32;5;5;27;27;5
00030_00006.ppm;30;32;5;6;25;27;5
00015_00008.ppm;35;35;5;5;30;30;5
00057_00006.ppm;32;33;6;5;27;28;5
00051_00025.ppm;60;61;5;6;55;56;5
00043_00029.ppm;58;57;6;5;53;52;5
00041_00003.ppm;27;29;5;6;21;23;5
00017_00000.ppm;31;31;5;5;26;26;5
00009_00003.ppm;33;32;6;5;28;27;5
00040_00015.ppm;34;36;5;6;29;31;5
00047_00017.ppm;44;45;6;5;39;39;5
00020_00003.ppm;28;29;6;6;23;23;5
00013_00027.ppm;65;64;6;5;60;59;5
00020_00001.ppm;27;27;6;5;22;21;5
00022_00000.ppm;33;33;6;6;28;28;5
00026_00012.ppm;35;34;6;6;29;28;5
00033_00023.ppm;46;49;6;6;40;43;5
00003_00017.ppm;36;36;6;6;31;30;5
00059_00014.ppm;39;37;6;5;34;32;5
00058_00022.ppm;50;51;6;6;45;46;5
00012_00007.ppm;33;34;5;6;27;28;5
00008_00004.ppm;32;32;5;5;27;27;5
00013_00025.ppm;57;56;6;5;52;51;5
00014_00017.ppm;43;42;6;5;38;37;5
00017_00028.ppm;107;106;10;9;98;97;5
00031_00001.ppm;27;28;6;5;22;23;5
00016_00015.ppm;43;43;5;5;38;38;5
00035_00001.ppm;28;28;6;6;23;23;5
00020_00010.ppm;29;29;5;5;24;24;5
00052_00020.ppm;42;42;5;5;37;37;5
00000_00007.ppm;34;35;6;6;29;30;5
00046_00022.ppm;60;61;5;5;55;56;5
00006_00017.ppm;50;50;5;5;45;45;5
