Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00008_00027.ppm;99;100;8;9;91;92;22
00008_00023.ppm;69;63;7;5;63;58;22
00004_00020.ppm;48;46;6;5;43;41;22
00011_00008.ppm;40;38;6;5;35;33;22
00003_00021.ppm;67;59;6;6;61;54;22
00005_00004.ppm;35;36;5;5;30;31;22
00010_00009.ppm;33;34;5;5;28;28;22
00004_00012.ppm;36;35;6;5;31;29;22
00003_00011.ppm;49;43;6;5;44;38;22
00005_00002.ppm;35;31;6;5;30;26;22
00001_00001.ppm;32;29;6;5;27;23;22
00008_00016.ppm;42;40;6;5;37;35;22
00004_00021.ppm;50;48;5;5;45;43;22
00002_00024.ppm;83;82;8;7;76;75;22
00012_00003.ppm;33;32;5;6;28;27;22
00001_00013.ppm;40;37;6;6;35;32;22
00001_00029.ppm;85;81;8;8;78;74;22
00006_00028.ppm;89;83;8;7;82;76;22
00009_00003.ppm;35;32;6;5;30;27;22
00006_00011.ppm;39;36;6;6;34;31;22
00003_00007.ppm;44;40;6;6;39;35;22
00008_00007.ppm;29;28;5;5;24;23;22
00005_00020.ppm;51;48;6;6;46;43;22
00009_00005.ppm;35;33;6;6;30;28;22
00000_00006.ppm;39;38;6;5;33;32;22
00012_00012.ppm;43;41;6;5;38;36;22
00002_00008.ppm;38;37;5;5;33;32;22
00000_00029.ppm;140;125;13;11;128;115;22
00010_00018.ppm;41;40;5;5;35;34;22
00001_00009.ppm;37;33;5;5;32;28;22
00008_00020.ppm;55;51;6;5;50;46;22
00007_00029.ppm;182;171;15;15;167;157;22
00000_00008.ppm;41;40;6;6;36;35;22
00005_00012.ppm;39;36;5;5;34;31;22
00007_00027.ppm;142;124;12;10;130;114;22
00011_00023.ppm;61;59;6;6;56;54;22
00010_00001.ppm;30;31;5;5;25;25;22
00007_00009.ppm;48;41;6;6;43;36;22
00010_00003.ppm;29;30;5;6;24;25;22
00008_00029.ppm;134;137;11;11;123;125;22
00010_00027.ppm;57;56;5;5;52;51;22
00003_00022.ppm;68;60;6;6;62;55;22
00002_00017.ppm;54;52;5;5;49;47;22
00011_00006.ppm;37;37;6;6;32;32;22
00000_00001.ppm;35;35;6;6;30;30;22
00009_00007.ppm;39;36;5;6;34;31;22
00006_00027.ppm;85;77;8;7;78;71;22
