Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00000_00011.ppm;41;40;6;6;36;35;28
00002_00027.ppm;132;116;12;11;121;106;28
00005_00009.ppm;45;46;6;5;40;41;28
00000_00014.ppm;43;39;6;5;37;33;28
00012_00012.ppm;38;35;6;5;33;30;28
00004_00001.ppm;30;29;5;5;25;24;28
00003_00026.ppm;86;82;7;8;79;75;28
00004_00000.ppm;30;30;5;6;25;25;28
00005_00015.ppm;54;54;6;5;48;49;28
00003_00023.ppm;71;63;7;5;65;58;28
00015_00014.ppm;42;37;6;5;36;31;28
00017_00000.ppm;35;32;6;5;30;27;28
00007_00024.ppm;94;81;9;8;85;74;28
00000_00025.ppm;49;47;5;6;44;41;28
00000_00028.ppm;53;51;5;6;48;46;28
00006_00006.ppm;45;42;6;6;40;37;28
00014_00017.ppm;55;51;6;6;50;46;28
00005_00011.ppm;48;50;6;6;43;45;28
00017_00018.ppm;59;56;5;6;53;51;28
00007_00020.ppm;82;71;7;7;75;65;28
00008_00023.ppm;117;105;10;9;107;96;28
00001_00014.ppm;50;45;6;5;45;40;28
00006_00016.ppm;56;52;5;6;51;47;28
00008_00008.ppm;68;61;7;6;62;55;28
00012_00017.ppm;46;42;5;5;41;37;28
00013_00021.ppm;83;80;7;7;75;72;28
00004_00010.ppm;40;38;6;6;35;33;28
00012_00021.ppm;56;53;5;5;51;48;28
00000_00022.ppm;49;46;6;6;43;41;28
00004_00009.ppm;37;34;5;5;32;29;28
00012_00018.ppm;47;45;5;6;42;39;28
00003_00021.ppm;63;60;5;6;58;55;28
00010_00002.ppm;44;40;6;6;39;35;28
00004_00006.ppm;34;31;5;5;29;26;28
00011_00003.ppm;37;35;5;5;32;30;28
00013_00010.ppm;53;52;6;5;47;46;28
00005_00029.ppm;115;106;10;9;105;97;28
00004_00004.ppm;36;32;6;6;31;27;28
00014_00013.ppm;48;47;5;6;43;42;28
00011_00020.ppm;50;47;5;6;45;42;28
00006_00021.ppm;69;63;6;6;63;58;28
00006_00002.ppm;41;37;6;5;36;32;28
00017_00008.ppm;39;39;5;6;34;34;28
00015_00008.ppm;37;31;6;5;31;26;28
00002_00012.ppm;54;48;6;5;49;43;28
00016_00020.ppm;58;60;5;6;53;55;28
00003_00004.ppm;37;33;5;5;31;28;28
