Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00007_00010.ppm;30;31;5;6;25;26;16
00007_00000.ppm;27;26;6;5;21;21;16
00009_00000.ppm;29;30;5;6;24;25;16
00007_00014.ppm;36;36;6;5;30;30;16
00009_00010.ppm;33;33;5;5;28;28;16
00000_00020.ppm;95;95;8;9;87;87;16
00008_00009.ppm;64;63;6;5;59;58;16
00010_00019.ppm;46;46;5;6;41;41;16
00005_00028.ppm;48;49;6;5;43;44;16
00001_00017.ppm;60;65;5;6;55;60;16
00005_00008.ppm;31;31;5;5;26;26;16
00001_00000.ppm;36;39;6;6;31;34;16
00003_00014.ppm;40;41;5;5;35;36;16
00011_00004.ppm;26;27;5;5;20;21;16
00002_00027.ppm;57;58;5;6;52;53;16
00002_00010.ppm;32;32;5;5;27;27;16
00011_00025.ppm;47;48;5;5;42;43;16
00009_00022.ppm;41;45;5;6;36;39;16
00007_00013.ppm;34;34;5;5;28;29;16
00008_00025.ppm;101;101;9;9;93;93;16
00011_00023.ppm;44;45;5;6;38;40;16
00008_00017.ppm;75;74;6;6;69;68;16
00008_00011.ppm;68;69;6;7;62;63;16
00012_00029.ppm;65;69;6;7;60;63;16
00004_00021.ppm;48;48;5;5;43;43;16
00006_00013.ppm;91;92;8;9;83;84;16
00012_00017.ppm;38;39;5;6;33;34;16
00001_00010.ppm;47;50;5;6;42;45;16
00000_00000.ppm;53;55;5;5;48;50;16
00000_00013.ppm;70;71;6;7;64;65;16
00006_00007.ppm;80;81;7;8;73;74;16
00002_00007.ppm;31;31;5;5;26;26;16
00008_00024.ppm;96;95;9;8;88;87;16
00002_00020.ppm;40;41;5;5;35;36;16
00005_00002.ppm;27;26;6;5;22;21;16
00008_00000.ppm;57;56;6;6;52;51;16
00002_00029.ppm;68;68;6;7;62;62;16
00004_00013.ppm;35;35;5;5;30;30;16
00003_00024.ppm;49;49;5;5;44;44;16
00011_00001.ppm;26;27;5;6;20;22;16
00000_00018.ppm;86;87;7;7;79;80;16
00005_00006.ppm;29;30;5;6;24;25;16
00000_00025.ppm;135;133;12;12;124;122;16
00003_00000.ppm;33;33;6;6;28;28;16
00007_00003.ppm;28;30;5;5;23;25;16
00009_00008.ppm;33;32;6;5;28;27;16
