Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00009_00015.ppm;64;57;6;5;59;52;30
00006_00000.ppm;27;27;6;6;22;22;30
00006_00010.ppm;33;32;6;5;28;27;30
00000_00029.ppm;221;192;19;17;203;176;30
00005_00022.ppm;60;57;5;6;55;52;30
00000_00028.ppm;184;157;15;13;169;144;30
00004_00008.ppm;49;44;5;5;44;39;30
00014_00025.ppm;56;51;6;5;51;46;30
00012_00002.ppm;34;34;6;6;29;29;30
00010_00013.ppm;43;41;5;6;38;36;30
00003_00010.ppm;49;43;5;5;44;38;30
00012_00029.ppm;91;92;8;9;83;84;30
00011_00028.ppm;131;128;11;11;120;117;30
00002_00025.ppm;101;88;9;7;93;81;30
00004_00015.ppm;58;52;6;5;53;47;30
00003_00016.ppm;64;57;6;6;59;52;30
00006_00009.ppm;32;33;5;6;27;28;30
00001_00021.ppm;47;42;6;6;42;37;30
00004_00003.ppm;41;39;6;6;36;34;30
00002_00004.ppm;38;37;5;6;33;32;30
00014_00006.ppm;32;31;5;6;27;26;30
00006_00029.ppm;93;93;9;9;85;85;30
00002_00022.ppm;77;70;7;7;71;64;30
00002_00026.ppm;115;100;10;8;105;92;30
00006_00027.ppm;65;64;6;5;60;59;30
00008_00019.ppm;48;43;5;6;43;38;30
00012_00017.ppm;46;48;5;6;41;43;30
00009_00014.ppm;61;57;5;6;56;52;30
00011_00026.ppm;98;99;9;8;90;91;30
00014_00007.ppm;33;32;6;6;28;27;30
00007_00016.ppm;59;54;6;6;53;49;30
00002_00010.ppm;47;43;6;6;42;38;30
00004_00016.ppm;59;55;5;6;54;50;30
00006_00024.ppm;55;55;6;6;50;50;30
00013_00023.ppm;51;46;5;5;46;41;30
00005_00021.ppm;55;52;5;5;50;47;30
00005_00015.ppm;48;46;6;6;43;41;30
00011_00001.ppm;29;31;5;6;24;25;30
00007_00009.ppm;48;44;6;5;43;39;30
00010_00027.ppm;67;60;6;6;61;55;30
00000_00002.ppm;31;25;5;5;26;20;30
00006_00013.ppm;32;33;5;6;27;28;30
00002_00002.ppm;39;36;6;5;34;31;30
00003_00000.ppm;42;37;6;5;37;32;30
00009_00028.ppm;148;131;13;12;136;120;30
00009_00009.ppm;52;48;5;6;47;43;30
00008_00016.ppm;45;41;5;6;40;36;30
