Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00002_00021.ppm;40;40;6;6;35;35;42
00007_00026.ppm;56;58;5;5;51;53;42
00000_00022.ppm;51;52;6;6;45;46;42
00004_00026.ppm;67;65;6;6;61;60;42
00001_00027.ppm;87;85;7;8;80;78;42
00007_00002.ppm;28;29;5;5;23;24;42
00007_00027.ppm;58;62;5;6;53;57;42
00000_00021.ppm;50;50;6;5;44;44;42
00003_00019.ppm;43;43;5;5;38;38;42
00003_00021.ppm;47;47;6;5;42;41;42
00007_00018.ppm;39;40;5;5;34;35;42
00004_00013.ppm;39;40;5;6;34;35;42
00003_00023.ppm;51;51;6;5;46;45;42
00004_00027.ppm;71;69;7;6;65;63;42
00006_00022.ppm;44;44;5;5;39;39;42
00005_00007.ppm;29;30;5;6;23;24;42
00007_00016.ppm;38;38;6;5;33;33;42
00002_00018.ppm;37;37;5;5;32;32;42
00003_00012.ppm;33;34;5;6;28;29;42
00001_00029.ppm;124;118;11;10;114;108;42
00006_00016.ppm;37;36;6;5;32;31;42
00000_00025.ppm;56;56;6;5;51;51;42
00005_00026.ppm;53;51;6;5;47;46;42
00006_00019.ppm;40;40;6;6;35;35;42
00002_00025.ppm;42;44;5;5;37;39;42
00000_00020.ppm;47;49;6;6;42;43;42
00006_00007.ppm;33;32;6;5;28;27;42
00000_00019.ppm;45;46;5;5;39;40;42
00007_00014.ppm;34;35;5;5;29;30;42
00000_00015.ppm;40;43;5;6;35;37;42
00001_00012.ppm;37;37;6;5;32;32;42
00006_00020.ppm;42;41;6;5;37;36;42
00001_00009.ppm;33;32;6;5;28;27;42
00003_00026.ppm;58;59;5;5;53;54;42
00003_00002.ppm;29;27;6;6;23;22;42
00004_00022.ppm;55;54;5;5;50;49;42
00003_00024.ppm;55;54;6;5;50;49;42
00006_00011.ppm;36;37;5;6;31;32;42
00007_00004.ppm;30;32;5;6;25;27;42
00001_00013.ppm;38;38;6;5;33;33;42
00005_00024.ppm;49;46;6;6;43;40;42
00002_00028.ppm;49;49;6;5;44;44;42
00007_00009.ppm;32;32;6;5;27;27;42
00001_00021.ppm;52;52;6;6;47;47;42
00003_00007.ppm;29;31;5;5;24;26;42
00003_00014.ppm;36;36;6;5;31;31;42
00002_00023.ppm;39;41;5;6;34;36;42
