Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00000_00015.ppm;42;39;5;6;37;34;24
00000_00017.ppm;49;43;6;5;43;38;24
00002_00010.ppm;60;56;5;5;54;51;24
00005_00011.ppm;30;30;5;6;25;25;24
00006_00015.ppm;51;46;5;5;46;41;24
00004_00015.ppm;48;45;5;5;42;39;24
00004_00022.ppm;71;64;7;5;65;59;24
00006_00024.ppm;96;84;9;7;88;77;24
00005_00016.ppm;35;32;6;5;30;27;24
00008_00006.ppm;41;43;6;5;36;38;24
00002_00022.ppm;69;62;6;5;62;57;24
00004_00006.ppm;36;31;6;6;31;26;24
00005_00014.ppm;35;33;6;6;30;28;24
00001_00018.ppm;64;68;5;6;59;62;24
00004_00008.ppm;36;32;5;5;31;26;24
00006_00011.ppm;44;40;6;5;39;35;24
00007_00011.ppm;47;45;5;6;42;40;24
00001_00026.ppm;73;73;6;7;67;67;24
00005_00008.ppm;29;28;6;6;24;23;24
00002_00008.ppm;58;56;5;6;53;51;24
00000_00021.ppm;61;57;6;6;56;52;24
00003_00019.ppm;87;81;8;8;80;74;24
00000_00028.ppm;128;119;12;11;117;109;24
00000_00029.ppm;164;148;14;13;149;136;24
00002_00018.ppm;65;61;6;6;59;55;24
00008_00005.ppm;39;43;5;5;34;38;24
00005_00003.ppm;29;25;6;5;23;20;24
00004_00026.ppm;109;105;9;10;100;95;24
00001_00027.ppm;74;73;7;7;68;67;24
00008_00000.ppm;34;37;5;5;29;32;24
00008_00024.ppm;49;50;5;5;44;45;24
00007_00005.ppm;42;38;5;5;37;33;24
00002_00000.ppm;54;52;6;6;49;47;24
00007_00009.ppm;46;40;6;5;41;35;24
00003_00022.ppm;99;92;8;8;91;84;24
00001_00023.ppm;72;73;6;7;66;66;24
00008_00023.ppm;50;51;6;5;45;46;24
00002_00026.ppm;73;66;7;6;66;60;24
00004_00027.ppm;129;119;11;10;118;109;24
00004_00021.ppm;64;61;6;6;59;56;24
00003_00005.ppm;53;51;5;5;48;46;24
00008_00001.ppm;36;39;6;6;31;34;24
00004_00018.ppm;54;51;5;5;48;45;24
00001_00012.ppm;61;65;5;6;56;59;24
00004_00019.ppm;58;54;6;5;53;49;24
00003_00004.ppm;54;51;6;5;49;46;24
00004_00023.ppm;75;70;6;6;68;64;24
