Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00005_00021.ppm;59;52;6;6;54;47;19
00002_00021.ppm;79;64;7;6;72;59;19
00002_00010.ppm;53;47;5;5;48;42;19
00001_00018.ppm;54;49;5;6;48;43;19
00000_00009.ppm;81;64;8;5;74;59;19
00002_00012.ppm;57;51;5;6;52;46;19
00003_00007.ppm;35;36;5;6;30;30;19
00002_00022.ppm;85;68;8;6;78;62;19
00004_00006.ppm;43;41;6;6;38;36;19
00005_00027.ppm;94;84;8;7;86;77;19
00001_00024.ppm;81;71;7;6;74;65;19
00006_00022.ppm;72;68;6;6;66;62;19
00000_00025.ppm;129;112;12;10;118;102;19
00002_00009.ppm;53;46;6;5;47;40;19
00000_00019.ppm;105;88;10;7;96;81;19
00005_00016.ppm;46;43;5;6;41;38;19
00004_00008.ppm;45;42;6;5;40;37;19
00000_00013.ppm;85;72;8;7;78;66;19
00001_00004.ppm;33;32;5;6;27;27;19
00000_00023.ppm;119;104;10;9;109;95;19
00000_00018.ppm;100;85;9;7;92;78;19
00004_00001.ppm;40;38;6;6;35;33;19
00000_00028.ppm;147;129;13;12;135;117;19
00000_00015.ppm;89;78;7;7;81;71;19
00000_00003.ppm;69;59;6;6;63;54;19
00006_00023.ppm;80;72;7;6;73;65;19
00004_00010.ppm;48;45;5;5;43;40;19
00006_00017.ppm;53;50;5;5;48;45;19
00000_00024.ppm;122;109;10;10;112;99;19
00003_00009.ppm;39;37;6;5;33;31;19
00002_00013.ppm;59;52;5;5;53;46;19
00005_00022.ppm;61;55;6;5;55;49;19
00001_00017.ppm;52;46;6;5;47;40;19
00006_00012.ppm;46;43;6;6;41;38;19
00005_00015.ppm;46;41;6;5;41;36;19
00003_00005.ppm;36;34;6;6;30;29;19
00004_00018.ppm;59;57;5;5;54;52;19
00006_00021.ppm;68;62;6;5;61;56;19
00002_00004.ppm;46;43;6;6;41;37;19
00006_00027.ppm;122;107;10;9;112;98;19
00006_00001.ppm;38;35;6;6;33;30;19
00002_00023.ppm;92;71;9;6;84;65;19
00006_00029.ppm;169;147;15;12;155;135;19
00006_00005.ppm;39;38;5;6;34;33;19
00005_00029.ppm;116;104;11;9;106;95;19
00002_00019.ppm;73;61;7;5;67;55;19
