Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00068_00018.ppm;43;43;5;5;38;38;2
00020_00005.ppm;30;30;6;6;25;25;2
00074_00027.ppm;56;56;5;5;51;51;2
00073_00026.ppm;65;66;5;6;59;60;2
00070_00021.ppm;45;44;6;6;40;39;2
00051_00012.ppm;40;40;5;5;35;34;2
00072_00018.ppm;37;37;6;5;32;32;2
00007_00004.ppm;37;35;6;5;31;29;2
00052_00025.ppm;109;104;10;9;100;95;2
00007_00023.ppm;57;56;6;6;52;51;2
00023_00005.ppm;31;31;6;6;26;26;2
00013_00018.ppm;36;39;5;6;31;33;2
00021_00000.ppm;28;29;5;6;23;24;2
00072_00028.ppm;53;57;5;6;47;52;2
00073_00008.ppm;33;33;6;5;28;27;2
00033_00002.ppm;27;28;5;5;22;23;2
00031_00028.ppm;53;55;6;5;48;50;2
00027_00002.ppm;28;27;6;5;23;22;2
00019_00015.ppm;42;44;5;6;37;39;2
00018_00013.ppm;35;35;5;5;30;30;2
00050_00004.ppm;28;27;6;5;23;22;2
00072_00029.ppm;56;60;5;5;50;55;2
00000_00015.ppm;48;42;5;5;43;37;2
00024_00025.ppm;56;57;5;5;51;52;2
00007_00012.ppm;41;39;6;5;36;34;2
00005_00022.ppm;52;52;6;5;47;47;2
00062_00002.ppm;34;34;5;5;29;29;2
00058_00028.ppm;64;64;6;6;59;59;2
00009_00017.ppm;64;63;5;5;59;58;2
00023_00022.ppm;43;43;5;6;37;38;2
00045_00017.ppm;38;39;5;6;33;34;2
00008_00021.ppm;46;46;6;5;41;41;2
00037_00005.ppm;30;30;5;5;25;25;2
00057_00016.ppm;44;42;6;5;39;37;2
00030_00009.ppm;38;35;6;6;33;29;2
00011_00024.ppm;54;50;5;5;48;45;2
00013_00026.ppm;46;49;5;6;40;44;2
00055_00005.ppm;30;30;5;6;24;25;2
00056_00008.ppm;35;35;5;6;30;30;2
00047_00012.ppm;30;29;6;5;25;24;2
00035_00010.ppm;37;38;5;6;32;33;2
00058_00002.ppm;26;27;5;6;21;22;2
00057_00026.ppm;73;72;6;6;67;66;2
00056_00020.ppm;49;48;6;5;44;43;2
00054_00019.ppm;43;42;5;5;38;37;2
00027_00020.ppm;41;42;5;6;36;37;2
