Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00011_00026.ppm;123;111;11;9;113;102;26
00002_00015.ppm;37;35;6;5;32;30;26
00005_00007.ppm;40;36;6;5;35;31;26
00010_00028.ppm;63;57;6;6;58;52;26
00007_00026.ppm;54;51;6;6;48;45;26
00018_00029.ppm;118;98;10;8;107;89;26
00002_00024.ppm;45;43;5;6;40;38;26
00008_00004.ppm;37;32;6;5;32;27;26
00019_00014.ppm;39;35;5;5;34;30;26
00001_00010.ppm;47;47;5;6;42;41;26
00003_00014.ppm;48;45;6;5;43;40;26
00007_00020.ppm;45;41;6;5;40;36;26
00003_00003.ppm;33;28;5;5;28;23;26
00014_00016.ppm;76;71;7;7;70;65;26
00018_00003.ppm;29;27;6;6;24;22;26
00009_00014.ppm;42;38;6;5;37;33;26
00009_00024.ppm;68;59;6;6;61;54;26
00010_00011.ppm;36;34;5;5;31;29;26
00007_00018.ppm;42;39;6;6;37;34;26
00009_00027.ppm;88;82;7;8;81;75;26
00015_00026.ppm;171;155;14;13;157;142;26
00006_00001.ppm;31;30;5;6;26;25;26
00011_00017.ppm;67;61;6;6;61;56;26
00001_00008.ppm;47;44;6;5;41;38;26
00018_00017.ppm;45;42;5;5;40;36;26
00004_00024.ppm;81;73;7;7;74;67;26
00003_00019.ppm;59;56;6;5;54;51;26
00000_00020.ppm;60;58;5;6;55;53;26
00014_00023.ppm;117;108;10;10;106;99;26
00001_00020.ppm;62;60;6;6;57;55;26
00018_00023.ppm;63;56;5;5;58;51;26
00019_00025.ppm;65;58;6;5;59;52;26
00013_00028.ppm;71;70;7;7;65;64;26
00015_00019.ppm;133;119;12;11;122;109;26
00010_00015.ppm;39;37;5;5;34;32;26
00016_00014.ppm;40;37;6;6;35;32;26
00002_00013.ppm;37;34;5;6;32;29;26
00017_00007.ppm;35;31;5;5;29;25;26
00008_00007.ppm;39;34;6;5;33;29;26
00014_00013.ppm;72;64;7;6;66;59;26
00000_00015.ppm;44;46;6;6;39;41;26
00006_00023.ppm;62;55;5;5;57;50;26
00018_00000.ppm;27;26;5;5;22;20;26
00017_00013.ppm;42;37;5;6;36;31;26
00004_00002.ppm;38;34;6;6;33;29;26
00016_00007.ppm;35;32;5;5;29;27;26
00000_00008.ppm;34;35;5;5;29;29;26
