Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00011_00000.ppm;32;32;5;5;27;27;7
00018_00013.ppm;34;35;5;5;29;30;7
00006_00008.ppm;40;40;6;6;35;35;7
00036_00013.ppm;38;37;6;6;33;32;7
00022_00009.ppm;39;39;6;6;34;34;7
00003_00018.ppm;50;50;5;5;45;45;7
00014_00009.ppm;43;43;5;5;38;38;7
00028_00004.ppm;30;33;5;6;25;28;7
00005_00007.ppm;38;38;5;6;32;33;7
00022_00006.ppm;37;37;5;5;32;32;7
00044_00018.ppm;35;36;6;5;30;31;7
00030_00014.ppm;33;32;6;5;28;27;7
00043_00029.ppm;64;70;6;6;59;64;7
00030_00013.ppm;33;32;6;5;28;27;7
00020_00022.ppm;46;47;5;5;41;42;7
00034_00001.ppm;30;32;5;6;25;27;7
00009_00008.ppm;31;34;5;6;26;29;7
00007_00006.ppm;35;36;5;6;30;31;7
00037_00025.ppm;57;55;6;5;52;50;7
00013_00012.ppm;39;38;5;5;34;33;7
00027_00019.ppm;41;42;5;5;35;36;7
00040_00025.ppm;40;40;5;5;35;35;7
00017_00026.ppm;54;56;6;6;49;51;7
00023_00028.ppm;52;53;5;5;47;48;7
00015_00023.ppm;56;60;5;5;51;55;7
00001_00025.ppm;42;41;6;6;37;35;7
00043_00001.ppm;28;28;5;5;23;23;7
00021_00022.ppm;51;51;6;6;45;45;7
00033_00023.ppm;62;62;6;6;57;57;7
00041_00023.ppm;51;50;6;5;46;45;7
00020_00023.ppm;51;51;6;5;46;46;7
00040_00023.ppm;38;38;5;5;33;33;7
00004_00011.ppm;38;39;5;6;33;34;7
00018_00018.ppm;39;41;5;6;34;36;7
00016_00010.ppm;40;41;5;6;35;36;7
00025_00002.ppm;28;29;5;6;23;24;7
00019_00028.ppm;64;70;6;7;59;64;7
00013_00008.ppm;35;35;5;6;30;30;7
00020_00010.ppm;34;35;5;5;28;29;7
00007_00023.ppm;71;71;7;7;65;65;7
00024_00021.ppm;46;45;6;5;41;40;7
00043_00011.ppm;34;35;6;6;29;30;7
00012_00021.ppm;41;43;5;6;36;38;7
00037_00024.ppm;54;52;6;5;49;47;7
00012_00004.ppm;29;30;5;5;24;24;7
00039_00018.ppm;42;43;5;6;37;38;7
