Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00013_00027.ppm;69;65;7;6;63;60;34
00006_00024.ppm;38;41;6;6;33;36;34
00012_00010.ppm;34;33;5;6;29;28;34
00009_00025.ppm;63;65;5;6;58;60;34
00011_00007.ppm;30;29;6;5;25;24;34
00001_00000.ppm;28;27;5;5;23;22;34
00007_00005.ppm;28;29;5;6;23;24;34
00011_00019.ppm;64;65;5;6;59;60;34
00012_00004.ppm;30;30;5;5;25;25;34
00000_00003.ppm;27;33;5;6;22;28;34
00005_00000.ppm;26;29;5;5;20;23;34
00005_00009.ppm;33;35;6;6;28;30;34
00011_00003.ppm;29;29;6;5;24;24;34
00000_00012.ppm;40;47;5;6;34;42;34
00007_00014.ppm;38;39;5;6;33;34;34
00011_00029.ppm;115;118;10;10;105;108;34
00012_00022.ppm;38;39;6;6;33;34;34
00004_00002.ppm;51;52;5;6;46;47;34
00003_00011.ppm;57;59;5;5;52;54;34
00010_00001.ppm;30;34;5;6;24;29;34
00005_00017.ppm;38;43;5;6;32;37;34
00011_00027.ppm;99;99;9;9;91;91;34
00002_00004.ppm;31;29;6;5;26;24;34
00009_00002.ppm;32;31;6;5;27;26;34
00005_00015.ppm;36;39;5;5;30;33;34
00003_00016.ppm;68;71;7;6;62;65;34
00012_00018.ppm;36;39;5;6;31;34;34
00007_00008.ppm;31;31;5;5;26;26;34
00011_00005.ppm;30;30;6;6;25;25;34
00010_00018.ppm;41;47;6;5;36;42;34
00009_00018.ppm;45;47;5;6;40;42;34
00007_00006.ppm;29;29;6;6;24;24;34
00010_00005.ppm;31;35;5;5;25;29;34
00005_00007.ppm;31;33;5;6;25;28;34
00009_00013.ppm;40;41;5;6;35;36;34
00008_00025.ppm;58;60;5;5;53;55;34
00006_00014.ppm;31;35;5;6;26;30;34
00002_00025.ppm;65;63;6;5;59;58;34
00006_00009.ppm;28;33;5;6;23;28;34
00003_00022.ppm;88;96;7;8;80;87;34
00004_00026.ppm;86;85;8;7;79;78;34
00005_00014.ppm;35;39;5;5;30;33;34
00008_00015.ppm;40;41;6;6;35;36;34
00005_00011.ppm;33;37;5;6;28;31;34
00011_00011.ppm;32;31;6;5;27;26;34
00011_00012.ppm;32;31;6;5;27;26;34
00013_00001.ppm;37;38;5;5;32;33;34
