Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00005_00023.ppm;58;56;5;6;53;51;27
00004_00005.ppm;42;39;6;6;37;34;27
00005_00010.ppm;34;33;5;5;29;27;27
00004_00024.ppm;67;62;6;6;61;57;27
00001_00000.ppm;37;34;6;5;32;29;27
00003_00017.ppm;48;49;5;6;43;44;27
00001_00015.ppm;52;48;6;5;47;43;27
00001_00018.ppm;59;55;5;5;54;50;27
00000_00026.ppm;134;122;12;11;123;111;27
00005_00004.ppm;31;29;6;5;26;23;27
00007_00014.ppm;44;41;6;6;39;35;27
00004_00011.ppm;47;45;6;6;42;40;27
00001_00023.ppm;84;73;8;6;77;67;27
00004_00019.ppm;56;53;5;5;51;48;27
00003_00009.ppm;44;46;5;6;39;40;27
00006_00003.ppm;41;37;5;5;36;32;27
00007_00019.ppm;52;48;6;6;46;42;27
00003_00019.ppm;50;51;5;6;45;46;27
00002_00022.ppm;74;69;6;7;68;63;27
00006_00006.ppm;44;39;6;5;39;34;27
00005_00015.ppm;39;37;5;6;33;32;27
00004_00021.ppm;61;58;6;6;56;53;27
00001_00007.ppm;40;39;5;6;35;33;27
00006_00018.ppm;53;50;5;6;48;45;27
00002_00007.ppm;38;34;6;5;33;29;27
00007_00021.ppm;56;51;6;5;51;46;27
00002_00016.ppm;53;48;6;6;48;43;27
00000_00018.ppm;83;77;8;7;75;71;27
00002_00025.ppm;98;87;9;7;89;80;27
00004_00004.ppm;42;39;6;6;36;33;27
00007_00003.ppm;34;32;5;6;29;27;27
00004_00009.ppm;44;44;6;5;39;39;27
00003_00028.ppm;60;60;6;6;55;55;27
00005_00017.ppm;42;40;5;6;37;34;27
00002_00018.ppm;58;53;6;6;53;48;27
00004_00006.ppm;43;40;6;5;38;35;27
00002_00028.ppm;142;129;12;12;130;118;27
00007_00018.ppm;50;45;6;5;45;40;27
00001_00019.ppm;65;59;6;6;60;54;27
00000_00025.ppm;125;112;11;9;115;103;27
00000_00012.ppm;62;59;6;5;57;54;27
00000_00013.ppm;64;61;6;5;59;56;27
00002_00006.ppm;38;34;6;5;33;29;27
00006_00000.ppm;41;38;5;5;36;33;27
00002_00000.ppm;31;29;5;6;26;24;27
00001_00012.ppm;48;46;6;6;43;41;27
00006_00028.ppm;64;63;5;6;59;58;27
